Date,DJI,SP500,CAC40,NYSE,NASDAQ,FTSE,N225,SSE,SZ,SH,HSI
2016-08-05,18543.529296875,2182.8701171875,4410.5498046875,10782.8701171875,5221.1201171875,6793.5,16254.4501953125,2976.696044921875,10342.1640625,3116.080078125,22146.08984375
2016-08-08,18529.2890625,2180.889892578125,4415.4599609375,10788.009765625,5213.14013671875,6809.10009765625,16650.5703125,3004.277099609375,10468.7626953125,3145.010009765625,22494.759765625
2016-08-09,18533.05078125,2181.739990234375,4468.06982421875,10804.509765625,5225.47998046875,6851.2998046875,16764.970703125,3025.680908203125,10564.6611328125,3167.449951171875,22465.609375
2016-08-10,18495.66015625,2175.489990234375,4452.009765625,10774.98046875,5204.580078125,6866.39990234375,16735.119140625,3018.74609375,10511.04296875,3160.18994140625,22492.4296875
2016-08-11,18613.51953125,2185.7900390625,4503.9501953125,10836.150390625,5228.39990234375,6914.7001953125,,3002.637939453125,10390.84375,3143.340087890625,22580.55078125
2016-08-12,18576.470703125,2184.050048828125,4500.18994140625,10822.41015625,5232.89013671875,6916.0,16919.919921875,3050.6669921875,10527.982421875,3193.739990234375,22766.91015625
2016-08-15,18636.05078125,2190.14990234375,4497.85986328125,10858.5,5262.02001953125,6941.2001953125,16869.560546875,3125.195068359375,10821.98828125,3271.81005859375,22932.509765625
2016-08-16,18552.01953125,2178.14990234375,4460.43994140625,10809.740234375,5227.10986328125,6893.89990234375,16596.509765625,3110.037109375,10882.828125,3255.830078125,22910.83984375
2016-08-17,18573.939453125,2182.219970703125,4417.68017578125,10824.6396484375,5228.66015625,6859.2001953125,16745.640625,3109.554931640625,10890.568359375,3255.330078125,22799.779296875
2016-08-18,18597.69921875,2187.02001953125,4437.06005859375,10863.009765625,5240.14990234375,6869.0,16486.009765625,3104.114013671875,10879.078125,3249.580078125,23023.16015625
2016-08-19,18552.5703125,2183.8701171875,4400.52001953125,10829.150390625,5238.3798828125,6859.0,16545.8203125,3108.10205078125,10872.587890625,3253.77001953125,22937.220703125
2016-08-22,18529.419921875,2182.639892578125,4389.93994140625,10815.919921875,5244.60009765625,6828.5,16598.189453125,3084.804931640625,10731.2802734375,3229.340087890625,22997.91015625
2016-08-23,18547.30078125,2186.89990234375,4421.4501953125,10847.490234375,5260.080078125,6868.5,16497.359375,3089.7060546875,10750.169921875,3234.510009765625,22998.9296875
2016-08-24,18481.48046875,2175.43994140625,4435.47021484375,10791.1796875,5217.68994140625,6835.7998046875,16597.30078125,3085.8798828125,10760.3203125,3230.510009765625,22820.779296875
2016-08-25,18448.41015625,2172.469970703125,4406.60986328125,10784.3701171875,5212.2001953125,6816.89990234375,16555.94921875,3068.3291015625,10679.0302734375,3212.090087890625,22814.94921875
2016-08-26,18395.400390625,2169.0400390625,4441.8701171875,10749.330078125,5218.919921875,6838.10009765625,16360.7099609375,3070.30908203125,10693.6298828125,3214.139892578125,22909.5390625
2016-08-29,18502.990234375,2180.3798828125,4424.25,10811.349609375,5232.330078125,,16737.490234375,3070.027099609375,10724.2802734375,3213.820068359375,22821.33984375
2016-08-30,18454.30078125,2176.1201171875,4457.490234375,10797.5400390625,5222.990234375,6820.7998046875,16725.359375,3074.677001953125,10729.0,3218.7099609375,23016.109375
2016-08-31,18400.880859375,2170.949951171875,4438.22021484375,10764.75,5213.22021484375,6781.5,16887.400390625,3085.490966796875,10757.759765625,3230.050048828125,22976.880859375
2016-09-01,18419.30078125,2170.860107421875,4439.669921875,10771.9296875,5227.2099609375,6746.0,16926.83984375,3063.304931640625,10669.390625,3206.7900390625,23162.33984375
2016-09-02,18491.9609375,2179.97998046875,4542.169921875,10856.919921875,5249.89990234375,6894.60009765625,16925.6796875,3067.35205078125,10640.30078125,3211.050048828125,23266.69921875
2016-09-05,,,4541.080078125,,,6879.39990234375,17037.630859375,3072.094970703125,10695.330078125,3216.02001953125,23649.55078125
2016-09-06,18538.119140625,2186.47998046875,4529.9599609375,10890.7900390625,5275.91015625,6826.10009765625,17081.98046875,3090.712890625,10861.3779296875,3235.510009765625,23787.6796875
2016-09-07,18526.140625,2186.159912109375,4557.66015625,10890.1796875,5283.93017578125,6846.60009765625,17012.439453125,3091.927978515625,10838.59765625,3236.77001953125,23741.810546875
2016-09-08,18479.91015625,2181.300048828125,4542.2001953125,10882.330078125,5259.47998046875,6858.7001953125,16958.76953125,3095.9541015625,10851.068359375,3240.969970703125,23919.33984375
